Ages,Gender,Pendidikan,Hoby,Jobs,Pets,Addresess,Fear,Dream,Fav_food
40,L,S2,GYM,Guru,Otter,Cisaat,Gelap,Hitam,Nasi Padang
23,P,S1,GYM,Pustakawan,Anjing,Cisaat,Gelap,Hitam,Cimol
37,P,S2,Ngoding,Trainer,Otter,Nyalindung,Ketinggian,Hitam,Seblak
34,P,S1,Membaca,Pustakawan,Anjing,Cisaat,Ketinggian,Artis,Risol Charel
25,L,SMK,Membaca,Trainer,Tupai,Cisaat,Ketinggian,Sehat,Cimol
59,L,SMK,Ngoding,Trainer,Kucing,Cisaat,Ketinggian,Hitam,Risol Charel
43,L,S1,Membaca,Trainer,Otter,Cisaat,Laut,Sehat,Seblak
59,P,S1,GYM,Trainer,Otter,Cisaat,Ketinggian,Artis,Nasi Padang
49,P,SMA,Membaca,Guru,Kucing,Cisaat,Gelap,Kaya Raya,Seblak
48,L,SMK,Membaca,Pustakawan,Kucing,Cisaat,Ketinggian,Kaya Raya,Risol Charel
56,P,SMK,GYM,Guru,Otter,Sukabumi,Gelap,Artis,Risol Charel
36,L,SMK,Ngoding,Guru,Anjing,Nyalindung,Ketinggian,Sehat,Batagor
24,L,SMK,GYM,Guru,Kucing,Cisaat,Gelap,Artis,Nasi Padang
24,P,SMK,Membaca,Guru,Kucing,Sukabumi,Laut,Hitam,Batagor
27,L,SMK,GYM,Guru,Otter,Cisaat,Ketinggian,Sehat,Nasi Padang
38,P,SMK,GYM,Trainer,Kucing,Sukabumi,Laut,Kaya Raya,Seblak
39,P,SMK,Membaca,Pustakawan,Anjing,Cisaat,Ketinggian,Hitam,Nasi Padang
29,P,SMK,Membaca,Pustakawan,Tupai,Nyalindung,Ketinggian,Sehat,Batagor
20,P,SMK,GYM,Guru,Tupai,Nyalindung,Laut,Kaya Raya,Cimol
36,P,SMK,Membaca,Pustakawan,Tupai,Cisaat,Ketinggian,Hitam,Nasi Padang
23,P,SMK,Membaca,Pustakawan,Tupai,Cisaat,Laut,Artis,Risol Charel
38,L,S1,Ngoding,Pustakawan,Kucing,Cisaat,Gelap,Hitam,Nasi Padang
52,L,S2,Membaca,Guru,Kucing,Sukabumi,Laut,Sehat,Risol Charel
32,L,S1,Ngoding,Trainer,Anjing,Nyalindung,Gelap,Hitam,Seblak
58,L,S1,Ngoding,Guru,Tupai,Sukabumi,Laut,Artis,Risol Charel
53,L,SMA,Membaca,Guru,Anjing,Nyalindung,Ketinggian,Hitam,Seblak
45,L,SMK,Ngoding,Trainer,Anjing,Nyalindung,Gelap,Hitam,Cimol
52,L,S2,Ngoding,Pustakawan,Kucing,Nyalindung,Gelap,Artis,Seblak
18,P,S1,GYM,Trainer,Kucing,Cisaat,Laut,Artis,Batagor
27,P,S2,GYM,Pustakawan,Tupai,Cisaat,Gelap,Hitam,Seblak
51,P,S1,GYM,Trainer,Otter,Sukabumi,Ketinggian,Sehat,Seblak
37,L,SMA,Ngoding,Trainer,Kucing,Cisaat,Gelap,Artis,Risol Charel
47,P,SMA,Ngoding,Pustakawan,Otter,Cisaat,Ketinggian,Sehat,Batagor
46,P,S2,GYM,Trainer,Otter,Nyalindung,Ketinggian,Hitam,Nasi Padang
46,L,SMA,Membaca,Trainer,Kucing,Sukabumi,Laut,Hitam,Nasi Padang
31,L,S2,Membaca,Pustakawan,Otter,Cisaat,Ketinggian,Kaya Raya,Risol Charel
56,P,S2,Ngoding,Guru,Otter,Cisaat,Ketinggian,Artis,Cimol
20,P,S1,GYM,Trainer,Anjing,Nyalindung,Gelap,Artis,Nasi Padang
43,P,S1,GYM,Guru,Anjing,Sukabumi,Gelap,Kaya Raya,Seblak
21,L,S1,Ngoding,Pustakawan,Tupai,Sukabumi,Ketinggian,Sehat,Cimol
34,P,SMA,Membaca,Pustakawan,Tupai,Sukabumi,Gelap,Hitam,Nasi Padang
30,L,SMA,Ngoding,Pustakawan,Tupai,Sukabumi,Gelap,Sehat,Batagor
51,L,S1,GYM,Trainer,Tupai,Cisaat,Ketinggian,Artis,Cimol
47,L,SMK,Membaca,Pustakawan,Anjing,Sukabumi,Laut,Hitam,Cimol
48,P,S1,Ngoding,Trainer,Anjing,Cisaat,Gelap,Kaya Raya,Cimol
25,P,S1,Membaca,Guru,Tupai,Sukabumi,Laut,Sehat,Seblak
39,L,S2,Ngoding,Pustakawan,Otter,Nyalindung,Ketinggian,Artis,Nasi Padang
34,P,SMK,Ngoding,Pustakawan,Tupai,Cisaat,Gelap,Sehat,Batagor
44,P,S2,Membaca,Pustakawan,Tupai,Nyalindung,Ketinggian,Artis,Batagor
42,L,SMA,GYM,Trainer,Tupai,Sukabumi,Ketinggian,Hitam,Risol Charel
27,P,S2,GYM,Pustakawan,Otter,Nyalindung,Gelap,Kaya Raya,Batagor
60,L,S2,GYM,Trainer,Anjing,Cisaat,Ketinggian,Hitam,Cimol
53,P,S1,Ngoding,Pustakawan,Tupai,Cisaat,Ketinggian,Sehat,Nasi Padang
48,P,S2,GYM,Guru,Kucing,Sukabumi,Ketinggian,Artis,Risol Charel
48,P,S2,Ngoding,Trainer,Otter,Nyalindung,Laut,Hitam,Risol Charel
45,L,S2,GYM,Pustakawan,Anjing,Sukabumi,Gelap,Sehat,Seblak
31,P,SMA,Membaca,Pustakawan,Tupai,Cisaat,Ketinggian,Artis,Risol Charel
55,L,S2,Membaca,Trainer,Kucing,Cisaat,Gelap,Sehat,Cimol
37,L,S2,GYM,Trainer,Anjing,Nyalindung,Ketinggian,Kaya Raya,Nasi Padang
54,L,SMK,Membaca,Trainer,Tupai,Nyalindung,Laut,Sehat,Cimol
20,P,SMA,Membaca,Trainer,Anjing,Sukabumi,Gelap,Kaya Raya,Seblak
56,L,SMK,Ngoding,Pustakawan,Kucing,Nyalindung,Laut,Sehat,Seblak
44,L,S2,Ngoding,Trainer,Otter,Nyalindung,Gelap,Hitam,Batagor
27,P,SMK,GYM,Guru,Otter,Nyalindung,Ketinggian,Artis,Risol Charel
45,L,SMA,Membaca,Guru,Anjing,Nyalindung,Ketinggian,Kaya Raya,Cimol
28,P,SMA,Membaca,Trainer,Kucing,Cisaat,Ketinggian,Sehat,Seblak
40,L,S1,Ngoding,Pustakawan,Tupai,Sukabumi,Ketinggian,Kaya Raya,Batagor
20,P,S1,Ngoding,Pustakawan,Otter,Nyalindung,Ketinggian,Artis,Nasi Padang
31,P,S1,Membaca,Trainer,Kucing,Nyalindung,Gelap,Sehat,Cimol
37,P,S1,Ngoding,Guru,Otter,Sukabumi,Ketinggian,Artis,Batagor
52,P,S2,GYM,Trainer,Tupai,Cisaat,Gelap,Sehat,Batagor
56,L,S1,GYM,Pustakawan,Anjing,Sukabumi,Gelap,Kaya Raya,Seblak
26,L,SMK,Ngoding,Trainer,Kucing,Sukabumi,Ketinggian,Hitam,Batagor
27,L,S1,Ngoding,Pustakawan,Otter,Nyalindung,Laut,Hitam,Seblak
50,L,SMK,Membaca,Guru,Anjing,Sukabumi,Laut,Sehat,Risol Charel
23,P,SMA,GYM,Trainer,Otter,Sukabumi,Laut,Kaya Raya,Batagor
56,P,S2,GYM,Pustakawan,Tupai,Sukabumi,Ketinggian,Kaya Raya,Nasi Padang
50,P,SMK,Membaca,Trainer,Otter,Cisaat,Gelap,Hitam,Risol Charel
31,P,S2,GYM,Trainer,Otter,Nyalindung,Gelap,Kaya Raya,Nasi Padang
24,L,SMA,Ngoding,Trainer,Tupai,Cisaat,Laut,Sehat,Cimol
53,P,S1,Membaca,Guru,Tupai,Nyalindung,Laut,Kaya Raya,Risol Charel
43,P,S2,Ngoding,Trainer,Kucing,Cisaat,Laut,Kaya Raya,Nasi Padang
49,L,S1,Ngoding,Pustakawan,Tupai,Sukabumi,Gelap,Sehat,Batagor
46,L,SMK,GYM,Trainer,Anjing,Nyalindung,Laut,Artis,Seblak
50,P,S2,Ngoding,Pustakawan,Kucing,Cisaat,Laut,Artis,Cimol
39,P,SMA,Ngoding,Guru,Otter,Cisaat,Laut,Hitam,Nasi Padang
19,L,S2,Membaca,Guru,Tupai,Nyalindung,Gelap,Kaya Raya,Batagor
27,P,S2,GYM,Guru,Kucing,Sukabumi,Ketinggian,Hitam,Risol Charel
52,P,S1,Ngoding,Pustakawan,Otter,Nyalindung,Gelap,Sehat,Nasi Padang
45,L,SMA,Membaca,Pustakawan,Kucing,Nyalindung,Laut,Hitam,Seblak
22,L,S1,GYM,Trainer,Otter,Sukabumi,Gelap,Kaya Raya,Batagor
60,P,SMK,Ngoding,Trainer,Otter,Sukabumi,Gelap,Hitam,Nasi Padang
35,P,S2,Ngoding,Guru,Anjing,Nyalindung,Ketinggian,Hitam,Seblak
30,P,S2,Membaca,Pustakawan,Tupai,Cisaat,Ketinggian,Artis,Batagor
34,L,SMK,Ngoding,Trainer,Otter,Nyalindung,Laut,Hitam,Nasi Padang
27,P,SMA,GYM,Trainer,Anjing,Nyalindung,Gelap,Hitam,Batagor
51,L,SMA,Membaca,Pustakawan,Kucing,Cisaat,Laut,Artis,Batagor
26,L,SMA,Ngoding,Trainer,Otter,Sukabumi,Gelap,Artis,Cimol
56,P,SMA,Membaca,Trainer,Anjing,Nyalindung,Gelap,Artis,Nasi Padang
18,P,S2,Membaca,Guru,Otter,Nyalindung,Ketinggian,Artis,Cimol
35,P,SMK,Ngoding,Guru,Anjing,Cisaat,Gelap,Kaya Raya,Nasi Padang
41,P,S1,Ngoding,Pustakawan,Tupai,Sukabumi,Laut,Kaya Raya,Nasi Padang
32,P,SMA,Membaca,Trainer,Kucing,Nyalindung,Ketinggian,Artis,Batagor
38,L,S2,Ngoding,Trainer,Anjing,Cisaat,Ketinggian,Kaya Raya,Nasi Padang
52,P,SMA,GYM,Pustakawan,Otter,Sukabumi,Ketinggian,Hitam,Nasi Padang
54,L,S2,Membaca,Guru,Kucing,Sukabumi,Laut,Kaya Raya,Cimol
45,L,S1,Membaca,Trainer,Tupai,Cisaat,Gelap,Sehat,Cimol
30,L,SMA,GYM,Pustakawan,Otter,Nyalindung,Laut,Artis,Cimol
22,P,SMK,Ngoding,Pustakawan,Otter,Nyalindung,Gelap,Artis,Seblak
56,L,SMA,GYM,Trainer,Tupai,Cisaat,Laut,Sehat,Batagor
27,P,SMA,GYM,Pustakawan,Otter,Cisaat,Gelap,Hitam,Risol Charel
22,L,S1,Membaca,Pustakawan,Otter,Sukabumi,Gelap,Kaya Raya,Batagor
26,P,SMA,GYM,Pustakawan,Tupai,Cisaat,Ketinggian,Sehat,Batagor
56,L,SMK,GYM,Trainer,Tupai,Nyalindung,Laut,Sehat,Batagor
19,P,S1,Ngoding,Guru,Tupai,Cisaat,Gelap,Sehat,Batagor
54,L,S1,Ngoding,Pustakawan,Otter,Cisaat,Ketinggian,Artis,Cimol
23,P,S2,Membaca,Trainer,Otter,Cisaat,Ketinggian,Hitam,Cimol
23,L,SMK,Membaca,Pustakawan,Tupai,Sukabumi,Gelap,Hitam,Cimol
43,L,SMA,Ngoding,Guru,Anjing,Sukabumi,Ketinggian,Sehat,Batagor
24,P,SMA,GYM,Guru,Kucing,Nyalindung,Gelap,Sehat,Cimol
58,L,SMA,Membaca,Guru,Anjing,Nyalindung,Gelap,Kaya Raya,Nasi Padang
38,P,SMA,Membaca,Guru,Anjing,Sukabumi,Gelap,Hitam,Nasi Padang
22,L,SMA,GYM,Trainer,Kucing,Sukabumi,Ketinggian,Artis,Batagor
21,P,SMK,Membaca,Pustakawan,Anjing,Cisaat,Gelap,Artis,Seblak
20,L,SMK,GYM,Trainer,Tupai,Cisaat,Laut,Hitam,Risol Charel
20,P,S2,Ngoding,Pustakawan,Tupai,Sukabumi,Laut,Kaya Raya,Cimol
53,P,SMA,Membaca,Pustakawan,Tupai,Cisaat,Gelap,Artis,Risol Charel
23,L,SMK,Membaca,Guru,Otter,Nyalindung,Gelap,Hitam,Risol Charel
37,L,S2,Ngoding,Guru,Anjing,Nyalindung,Gelap,Kaya Raya,Risol Charel
23,L,SMA,Membaca,Pustakawan,Kucing,Cisaat,Gelap,Artis,Batagor
54,P,S1,Ngoding,Pustakawan,Otter,Sukabumi,Gelap,Sehat,Nasi Padang
35,L,S1,Membaca,Guru,Kucing,Cisaat,Ketinggian,Hitam,Seblak
33,L,S2,Ngoding,Trainer,Tupai,Nyalindung,Gelap,Hitam,Risol Charel
22,L,SMK,Ngoding,Trainer,Tupai,Sukabumi,Gelap,Sehat,Seblak
19,P,S1,Ngoding,Pustakawan,Tupai,Nyalindung,Gelap,Sehat,Batagor
23,L,SMA,Ngoding,Pustakawan,Otter,Cisaat,Laut,Hitam,Seblak
22,P,SMA,Membaca,Guru,Kucing,Nyalindung,Laut,Kaya Raya,Nasi Padang
45,P,SMK,Membaca,Pustakawan,Otter,Sukabumi,Laut,Artis,Batagor
31,P,SMA,GYM,Pustakawan,Kucing,Nyalindung,Ketinggian,Sehat,Seblak
19,L,S2,Membaca,Pustakawan,Kucing,Cisaat,Laut,Sehat,Risol Charel
21,L,SMK,GYM,Guru,Anjing,Cisaat,Ketinggian,Sehat,Batagor
44,P,SMK,Ngoding,Trainer,Tupai,Nyalindung,Laut,Artis,Seblak
50,P,S2,Membaca,Trainer,Anjing,Sukabumi,Ketinggian,Kaya Raya,Risol Charel
37,P,S1,GYM,Guru,Otter,Nyalindung,Laut,Hitam,Batagor
52,P,SMK,Membaca,Pustakawan,Tupai,Cisaat,Ketinggian,Sehat,Risol Charel
44,L,S2,GYM,Pustakawan,Otter,Cisaat,Gelap,Kaya Raya,Nasi Padang
33,P,S2,GYM,Guru,Otter,Nyalindung,Laut,Hitam,Seblak
28,P,SMK,Membaca,Guru,Otter,Sukabumi,Gelap,Artis,Seblak
25,P,S2,Membaca,Trainer,Kucing,Cisaat,Ketinggian,Kaya Raya,Seblak
44,L,S2,Membaca,Guru,Otter,Sukabumi,Laut,Hitam,Risol Charel
42,P,S1,Membaca,Guru,Kucing,Nyalindung,Gelap,Artis,Risol Charel
42,P,SMA,Ngoding,Pustakawan,Kucing,Sukabumi,Laut,Kaya Raya,Risol Charel
49,L,SMA,Ngoding,Trainer,Otter,Sukabumi,Laut,Hitam,Batagor
49,L,SMA,GYM,Pustakawan,Kucing,Cisaat,Laut,Kaya Raya,Risol Charel
23,L,S1,GYM,Trainer,Kucing,Nyalindung,Laut,Kaya Raya,Risol Charel
44,L,SMK,Ngoding,Trainer,Anjing,Sukabumi,Ketinggian,Sehat,Cimol
57,P,S1,Ngoding,Pustakawan,Otter,Nyalindung,Gelap,Hitam,Nasi Padang
36,P,S2,Membaca,Pustakawan,Tupai,Nyalindung,Laut,Kaya Raya,Nasi Padang
21,L,SMA,Ngoding,Guru,Kucing,Nyalindung,Ketinggian,Hitam,Risol Charel
37,L,SMK,Membaca,Trainer,Tupai,Cisaat,Laut,Hitam,Seblak
55,P,S2,GYM,Trainer,Tupai,Sukabumi,Laut,Kaya Raya,Risol Charel
33,P,S1,Ngoding,Guru,Anjing,Cisaat,Gelap,Hitam,Cimol
48,P,SMK,Ngoding,Guru,Otter,Cisaat,Ketinggian,Artis,Batagor
48,L,S2,Ngoding,Pustakawan,Tupai,Cisaat,Ketinggian,Artis,Cimol
30,P,S1,GYM,Pustakawan,Anjing,Cisaat,Ketinggian,Sehat,Nasi Padang
46,L,S1,Membaca,Guru,Otter,Cisaat,Laut,Kaya Raya,Seblak
49,L,SMA,Ngoding,Guru,Anjing,Cisaat,Ketinggian,Kaya Raya,Nasi Padang
31,L,SMK,GYM,Guru,Anjing,Sukabumi,Gelap,Kaya Raya,Risol Charel
25,P,S1,Membaca,Trainer,Otter,Nyalindung,Laut,Sehat,Batagor
45,P,SMK,Ngoding,Trainer,Tupai,Sukabumi,Laut,Kaya Raya,Cimol
37,L,S2,Ngoding,Pustakawan,Kucing,Nyalindung,Ketinggian,Kaya Raya,Nasi Padang
50,P,SMA,GYM,Trainer,Anjing,Sukabumi,Laut,Sehat,Seblak
56,P,S2,Membaca,Trainer,Kucing,Nyalindung,Gelap,Hitam,Nasi Padang
37,P,S2,Ngoding,Pustakawan,Kucing,Cisaat,Laut,Kaya Raya,Risol Charel
25,P,S2,Membaca,Trainer,Kucing,Nyalindung,Laut,Artis,Risol Charel
53,L,S2,Ngoding,Trainer,Kucing,Cisaat,Gelap,Hitam,Nasi Padang
51,L,S2,Membaca,Pustakawan,Kucing,Sukabumi,Ketinggian,Sehat,Risol Charel
48,L,SMK,Membaca,Guru,Tupai,Cisaat,Laut,Sehat,Nasi Padang
26,P,S1,GYM,Pustakawan,Otter,Nyalindung,Gelap,Sehat,Batagor
36,L,SMA,GYM,Pustakawan,Kucing,Cisaat,Ketinggian,Artis,Cimol
57,P,SMK,Membaca,Guru,Otter,Sukabumi,Ketinggian,Kaya Raya,Risol Charel
48,L,SMK,Ngoding,Trainer,Anjing,Nyalindung,Ketinggian,Sehat,Cimol
53,L,S1,Membaca,Trainer,Otter,Cisaat,Ketinggian,Kaya Raya,Risol Charel
33,P,SMK,GYM,Guru,Kucing,Nyalindung,Gelap,Artis,Cimol
31,L,S1,GYM,Trainer,Otter,Sukabumi,Gelap,Sehat,Seblak
43,L,SMK,Membaca,Pustakawan,Kucing,Cisaat,Laut,Artis,Seblak
32,L,SMA,GYM,Trainer,Tupai,Nyalindung,Gelap,Hitam,Seblak
52,P,S1,Membaca,Trainer,Tupai,Cisaat,Laut,Artis,Risol Charel
21,L,SMK,Ngoding,Pustakawan,Otter,Cisaat,Ketinggian,Hitam,Cimol
45,L,S1,Ngoding,Trainer,Anjing,Sukabumi,Laut,Hitam,Nasi Padang
24,L,S1,GYM,Guru,Kucing,Sukabumi,Gelap,Hitam,Batagor
41,P,S2,GYM,Guru,Anjing,Nyalindung,Gelap,Artis,Seblak
60,P,S1,Ngoding,Pustakawan,Tupai,Nyalindung,Gelap,Kaya Raya,Nasi Padang
57,P,S1,Ngoding,Pustakawan,Kucing,Cisaat,Gelap,Artis,Seblak
50,P,S1,Membaca,Guru,Otter,Cisaat,Laut,Sehat,Seblak
19,P,S1,Ngoding,Guru,Otter,Cisaat,Gelap,Hitam,Risol Charel
37,L,SMK,Ngoding,Guru,Otter,Cisaat,Gelap,Kaya Raya,Nasi Padang
57,L,SMA,Membaca,Pustakawan,Otter,Nyalindung,Gelap,Sehat,Seblak
53,P,SMA,Ngoding,Trainer,Kucing,Cisaat,Gelap,Sehat,Seblak
42,P,S1,Ngoding,Pustakawan,Tupai,Cisaat,Ketinggian,Artis,Batagor
29,P,S2,Membaca,Trainer,Anjing,Nyalindung,Ketinggian,Hitam,Batagor
54,P,SMA,Ngoding,Pustakawan,Otter,Sukabumi,Gelap,Hitam,Seblak
21,P,S2,GYM,Guru,Otter,Nyalindung,Laut,Hitam,Nasi Padang
35,P,SMA,GYM,Guru,Otter,Sukabumi,Ketinggian,Artis,Cimol
27,L,S2,Ngoding,Trainer,Tupai,Nyalindung,Laut,Artis,Seblak
18,L,SMK,Membaca,Trainer,Tupai,Cisaat,Laut,Artis,Seblak
44,L,SMK,Ngoding,Trainer,Kucing,Sukabumi,Ketinggian,Artis,Batagor
56,L,S2,Ngoding,Pustakawan,Kucing,Nyalindung,Ketinggian,Sehat,Cimol
41,L,SMA,Ngoding,Trainer,Tupai,Sukabumi,Gelap,Sehat,Risol Charel
29,L,S2,Membaca,Pustakawan,Anjing,Cisaat,Gelap,Sehat,Batagor
30,P,SMK,Membaca,Trainer,Anjing,Nyalindung,Gelap,Sehat,Batagor
24,P,SMK,Membaca,Pustakawan,Tupai,Nyalindung,Gelap,Sehat,Cimol
30,P,SMA,Ngoding,Pustakawan,Otter,Sukabumi,Gelap,Artis,Nasi Padang
37,L,SMA,Ngoding,Trainer,Anjing,Cisaat,Gelap,Sehat,Nasi Padang
35,L,S1,Membaca,Trainer,Tupai,Nyalindung,Laut,Hitam,Nasi Padang
58,L,S1,GYM,Trainer,Anjing,Nyalindung,Gelap,Kaya Raya,Cimol
51,P,SMA,Membaca,Trainer,Tupai,Sukabumi,Gelap,Artis,Batagor
45,P,S2,Membaca,Trainer,Kucing,Nyalindung,Ketinggian,Kaya Raya,Nasi Padang
29,L,S2,Membaca,Pustakawan,Otter,Nyalindung,Ketinggian,Hitam,Nasi Padang
43,L,S2,Ngoding,Guru,Anjing,Nyalindung,Laut,Kaya Raya,Nasi Padang
24,L,S2,Ngoding,Trainer,Anjing,Nyalindung,Gelap,Sehat,Nasi Padang
41,L,SMK,Membaca,Guru,Otter,Sukabumi,Ketinggian,Hitam,Seblak
42,P,S2,Ngoding,Trainer,Kucing,Sukabumi,Gelap,Hitam,Seblak
36,L,SMK,GYM,Trainer,Otter,Cisaat,Laut,Hitam,Risol Charel
41,L,SMA,GYM,Guru,Kucing,Sukabumi,Gelap,Kaya Raya,Nasi Padang
45,P,S2,Membaca,Pustakawan,Otter,Sukabumi,Ketinggian,Artis,Seblak
38,P,S1,Ngoding,Pustakawan,Kucing,Nyalindung,Gelap,Kaya Raya,Batagor
49,P,SMK,Membaca,Guru,Otter,Cisaat,Ketinggian,Sehat,Seblak
40,L,S2,GYM,Guru,Tupai,Sukabumi,Gelap,Artis,Batagor
49,L,SMK,GYM,Pustakawan,Anjing,Nyalindung,Ketinggian,Hitam,Risol Charel
28,P,S1,Membaca,Pustakawan,Anjing,Cisaat,Gelap,Artis,Seblak
28,L,SMA,GYM,Guru,Kucing,Nyalindung,Laut,Sehat,Nasi Padang
58,P,SMK,Membaca,Pustakawan,Anjing,Nyalindung,Gelap,Sehat,Batagor
60,P,SMA,Membaca,Guru,Anjing,Nyalindung,Laut,Hitam,Seblak
50,P,SMA,Membaca,Guru,Anjing,Nyalindung,Ketinggian,Sehat,Seblak
45,P,SMK,GYM,Guru,Tupai,Nyalindung,Ketinggian,Hitam,Risol Charel
24,L,S2,Membaca,Guru,Tupai,Sukabumi,Ketinggian,Kaya Raya,Nasi Padang
20,L,SMK,Ngoding,Guru,Kucing,Sukabumi,Laut,Artis,Batagor
32,L,SMA,GYM,Trainer,Anjing,Cisaat,Laut,Artis,Cimol
27,P,S1,Ngoding,Pustakawan,Otter,Nyalindung,Ketinggian,Kaya Raya,Seblak
59,L,S2,Membaca,Trainer,Anjing,Nyalindung,Gelap,Kaya Raya,Risol Charel
30,P,S2,Membaca,Guru,Kucing,Cisaat,Ketinggian,Kaya Raya,Risol Charel
59,L,S2,Ngoding,Trainer,Otter,Sukabumi,Gelap,Sehat,Batagor
40,P,SMA,Membaca,Trainer,Tupai,Sukabumi,Gelap,Sehat,Cimol
23,L,SMA,Ngoding,Pustakawan,Anjing,Sukabumi,Laut,Kaya Raya,Batagor
33,L,S2,Ngoding,Guru,Otter,Cisaat,Laut,Artis,Nasi Padang
51,L,S2,GYM,Trainer,Kucing,Nyalindung,Laut,Artis,Cimol
48,L,SMK,GYM,Guru,Otter,Nyalindung,Laut,Artis,Risol Charel
40,P,SMA,Membaca,Pustakawan,Otter,Nyalindung,Gelap,Artis,Cimol
24,L,SMK,Membaca,Pustakawan,Kucing,Nyalindung,Gelap,Sehat,Batagor
35,P,SMA,Membaca,Guru,Anjing,Nyalindung,Laut,Kaya Raya,Nasi Padang
29,P,S2,Ngoding,Trainer,Kucing,Nyalindung,Ketinggian,Hitam,Seblak
57,P,SMA,GYM,Guru,Otter,Sukabumi,Laut,Hitam,Batagor
31,P,SMA,Membaca,Pustakawan,Tupai,Nyalindung,Ketinggian,Artis,Seblak
54,L,S2,Membaca,Pustakawan,Otter,Sukabumi,Gelap,Sehat,Seblak
48,L,SMK,Ngoding,Trainer,Tupai,Sukabumi,Gelap,Artis,Nasi Padang
46,L,S1,Ngoding,Trainer,Anjing,Cisaat,Gelap,Artis,Risol Charel
24,L,SMK,GYM,Pustakawan,Tupai,Sukabumi,Laut,Kaya Raya,Risol Charel
19,L,S2,GYM,Trainer,Tupai,Nyalindung,Gelap,Hitam,Risol Charel
19,P,SMA,Membaca,Pustakawan,Anjing,Cisaat,Ketinggian,Hitam,Cimol
55,P,SMA,Membaca,Pustakawan,Otter,Nyalindung,Ketinggian,Sehat,Nasi Padang
54,L,S2,Membaca,Pustakawan,Tupai,Nyalindung,Ketinggian,Sehat,Cimol
26,P,SMK,Membaca,Trainer,Otter,Sukabumi,Ketinggian,Sehat,Batagor
24,P,SMA,GYM,Guru,Kucing,Sukabumi,Laut,Artis,Risol Charel
41,P,S1,Membaca,Guru,Anjing,Sukabumi,Gelap,Artis,Batagor
41,P,SMK,Ngoding,Guru,Anjing,Cisaat,Ketinggian,Kaya Raya,Batagor
32,P,S1,Membaca,Guru,Otter,Nyalindung,Laut,Artis,Risol Charel
40,P,S2,Ngoding,Trainer,Kucing,Cisaat,Gelap,Sehat,Risol Charel
56,L,SMA,Ngoding,Trainer,Tupai,Nyalindung,Laut,Artis,Cimol
47,L,S2,Ngoding,Trainer,Kucing,Nyalindung,Gelap,Artis,Seblak
32,P,SMA,GYM,Trainer,Kucing,Sukabumi,Gelap,Sehat,Risol Charel
23,L,SMK,GYM,Guru,Tupai,Cisaat,Laut,Hitam,Seblak
27,L,S1,GYM,Guru,Kucing,Nyalindung,Laut,Kaya Raya,Seblak
35,L,S2,Ngoding,Trainer,Kucing,Nyalindung,Laut,Artis,Batagor
57,P,S1,Ngoding,Pustakawan,Tupai,Cisaat,Gelap,Sehat,Batagor
28,L,S2,Membaca,Trainer,Kucing,Nyalindung,Laut,Sehat,Risol Charel
29,L,S1,Membaca,Trainer,Tupai,Nyalindung,Laut,Hitam,Seblak
23,L,SMA,GYM,Guru,Tupai,Nyalindung,Ketinggian,Artis,Batagor
33,P,S2,Ngoding,Guru,Otter,Nyalindung,Gelap,Sehat,Seblak
27,P,S1,Ngoding,Pustakawan,Kucing,Cisaat,Laut,Sehat,Risol Charel
60,P,S2,GYM,Trainer,Kucing,Sukabumi,Gelap,Sehat,Batagor
37,L,S2,Ngoding,Guru,Kucing,Nyalindung,Laut,Artis,Nasi Padang
60,L,SMK,GYM,Trainer,Anjing,Cisaat,Laut,Sehat,Nasi Padang
47,P,SMA,Membaca,Trainer,Tupai,Nyalindung,Gelap,Kaya Raya,Seblak
19,L,SMA,GYM,Guru,Anjing,Sukabumi,Laut,Sehat,Nasi Padang
37,L,SMA,Ngoding,Trainer,Tupai,Nyalindung,Laut,Artis,Seblak
19,L,S2,GYM,Pustakawan,Tupai,Nyalindung,Gelap,Artis,Cimol
18,L,SMA,GYM,Trainer,Tupai,Nyalindung,Laut,Hitam,Nasi Padang
38,P,S2,Ngoding,Pustakawan,Otter,Nyalindung,Laut,Hitam,Nasi Padang
31,P,SMA,Ngoding,Guru,Otter,Sukabumi,Ketinggian,Kaya Raya,Cimol
31,P,S2,Membaca,Pustakawan,Otter,Cisaat,Laut,Kaya Raya,Cimol
54,L,S1,Membaca,Guru,Tupai,Sukabumi,Laut,Sehat,Seblak
25,L,S1,GYM,Guru,Kucing,Cisaat,Laut,Artis,Cimol
32,L,S1,Membaca,Trainer,Tupai,Cisaat,Laut,Hitam,Risol Charel
47,L,S2,Ngoding,Pustakawan,Kucing,Nyalindung,Laut,Artis,Nasi Padang
36,P,SMK,Membaca,Trainer,Otter,Cisaat,Gelap,Artis,Cimol
46,P,SMK,Ngoding,Guru,Kucing,Cisaat,Gelap,Hitam,Nasi Padang
38,P,SMA,Ngoding,Trainer,Tupai,Cisaat,Ketinggian,Sehat,Seblak
20,P,SMK,Membaca,Guru,Otter,Cisaat,Ketinggian,Sehat,Risol Charel
44,P,SMK,Ngoding,Guru,Kucing,Nyalindung,Gelap,Sehat,Risol Charel
22,L,S1,Membaca,Pustakawan,Tupai,Sukabumi,Gelap,Artis,Nasi Padang
54,L,S2,Ngoding,Trainer,Tupai,Cisaat,Gelap,Kaya Raya,Seblak
